data_point_id,original_text,label
286,"We partnered with GreenFuture Alliance in 2020 to implement a new initiative in waste management, achieving 12 million gallons of water in verified results.",1
287,"In 2022, we began an initiative focused on energy usage with measurable goals expected to be achieved over the next 3 years.",2
288,"Since 2020, our supply chain upgrades have cut resource consumption by 20%, with results verified by Global Green Council.",1
289,"Since 2022, our transportation upgrades have cut resource consumption by 55%, with results verified by Sustainability Index.",1
290,"We are collaborating with PlanetWatch to evaluate opportunities for waste management enhancement, with progress reports expected in 2018.",2
291,"Since 2022, our product design upgrades have cut resource consumption by 40%, with results verified by Global Green Council.",1
292,"We are currently piloting a project to improve packaging, targeting a 55% improvement by 2022.",2
293,"We are collaborating with PlanetWatch to evaluate opportunities for waste management enhancement, with progress reports expected in 2022.",2
294,"Through third-party verification by GreenFuture Alliance, our efforts in product design resulted in a savings of 25,000 tons of CO₂.",1
295,"Through third-party verification by PlanetWatch, our efforts in product design resulted in a savings of 10,000 plastic containers.",1
296,"We partnered with GreenFuture Alliance in 2020 to implement a new initiative in waste management, achieving 5,000 hectares of deforested land in verified results.",1
297,"In 2022, we reduced our carbon emissions by 55% through verified changes in our energy usage, preventing 3,500 cubic meters of landfill space.",1
298,"Through third-party verification by EcoCert, our efforts in packaging resulted in a savings of 3,500 cubic meters of landfill space.",1
299,Plans are underway to transition to waste management models across key departments by 2022.,2
300,"In 2023, we reduced our carbon emissions by 40% through verified changes in our supply chain, preventing 25,000 tons of CO₂.",1
301,"We are collaborating with PlanetWatch to evaluate opportunities for packaging enhancement, with progress reports expected in 2023.",2
302,Plans are underway to transition to supply chain models across key departments by 2018.,2
303,"In 2022, we began an initiative focused on waste management with measurable goals expected to be achieved over the next 3 years.",2
304,"In 2021, we reduced our carbon emissions by 20% through verified changes in our waste management, preventing 40,000 kilowatt-hours of electricity.",1
305,"Since 2024, our packaging upgrades have cut resource consumption by 15%, with results verified by Global Green Council.",1
306,"In 2020, we reduced our carbon emissions by 70% through verified changes in our energy usage, preventing 3,500 cubic meters of landfill space.",1
307,"In 2023, we reduced our carbon emissions by 40% through verified changes in our manufacturing, preventing 10,000 plastic containers.",1
308,"We partnered with PlanetWatch in 2020 to implement a new initiative in waste management, achieving 12 million gallons of water in verified results.",1
309,"We partnered with GreenFuture Alliance in 2018 to implement a new initiative in packaging, achieving 40,000 kilowatt-hours of electricity in verified results.",1
310,Plans are underway to transition to energy usage models across key departments by 2020.,2
311,"Since 2024, our energy usage upgrades have cut resource consumption by 80%, with results verified by Global Green Council.",1
312,"Through third-party verification by Global Green Council, our efforts in packaging resulted in a savings of 25,000 tons of CO₂.",1
313,"Our verified sustainability audit confirmed a 30% improvement in packaging, saving 3,500 cubic meters of landfill space in 2019.",1
314,"We partnered with Sustainability Index in 2019 to implement a new initiative in packaging, achieving 3,500 cubic meters of landfill space in verified results.",1
315,Plans are underway to transition to waste management models across key departments by 2024.,2
316,"In 2019, we began an initiative focused on product design with measurable goals expected to be achieved over the next 3 years.",2
317,"Our verified sustainability audit confirmed a 45% improvement in waste management, saving 25,000 tons of CO₂ in 2024.",1
318,"Through third-party verification by PlanetWatch, our efforts in energy usage resulted in a savings of 3,500 cubic meters of landfill space.",1
319,"We partnered with Global Green Council in 2020 to implement a new initiative in packaging, achieving 3,500 cubic meters of landfill space in verified results.",1
320,"Through third-party verification by PlanetWatch, our efforts in waste management resulted in a savings of 5,000 hectares of deforested land.",1
321,Plans are underway to transition to transportation models across key departments by 2018.,2
322,Plans are underway to transition to packaging models across key departments by 2024.,2
323,"In 2018, we reduced our carbon emissions by 10% through verified changes in our waste management, preventing 40,000 kilowatt-hours of electricity.",1
324,"We are collaborating with Global Green Council to evaluate opportunities for transportation enhancement, with progress reports expected in 2022.",2
325,"We partnered with Global Green Council in 2023 to implement a new initiative in waste management, achieving 40,000 kilowatt-hours of electricity in verified results.",1
326,"Since 2019, our transportation upgrades have cut resource consumption by 55%, with results verified by Global Green Council.",1
327,"Through third-party verification by GreenFuture Alliance, our efforts in energy usage resulted in a savings of 40,000 kilowatt-hours of electricity.",1
328,"Through third-party verification by EcoCert, our efforts in energy usage resulted in a savings of 10,000 plastic containers.",1
329,"We are currently piloting a project to improve supply chain, targeting a 50% improvement by 2019.",2
330,"We are collaborating with Sustainability Index to evaluate opportunities for waste management enhancement, with progress reports expected in 2023.",2
331,"We are collaborating with Sustainability Index to evaluate opportunities for transportation enhancement, with progress reports expected in 2023.",2
332,"In 2018, we began an initiative focused on manufacturing with measurable goals expected to be achieved over the next 3 years.",2
333,"Our verified sustainability audit confirmed a 40% improvement in supply chain, saving 40,000 kilowatt-hours of electricity in 2022.",1
334,"Our verified sustainability audit confirmed a 35% improvement in packaging, saving 10,000 plastic containers in 2018.",1
335,"In 2020, we began an initiative focused on transportation with measurable goals expected to be achieved over the next 3 years.",2
336,"Our verified sustainability audit confirmed a 75% improvement in product design, saving 40,000 kilowatt-hours of electricity in 2024.",1
337,"Through third-party verification by EcoCert, our efforts in transportation resulted in a savings of 12 million gallons of water.",1
338,"Through third-party verification by Sustainability Index, our efforts in packaging resulted in a savings of 5,000 hectares of deforested land.",1
339,"We are currently piloting a project to improve supply chain, targeting a 25% improvement by 2024.",2
340,"In 2023, we began an initiative focused on energy usage with measurable goals expected to be achieved over the next 3 years.",2
341,"We are currently piloting a project to improve waste management, targeting a 25% improvement by 2024.",2
342,"We are collaborating with GreenFuture Alliance to evaluate opportunities for waste management enhancement, with progress reports expected in 2023.",2
343,"Since 2020, our manufacturing upgrades have cut resource consumption by 50%, with results verified by Global Green Council.",1
344,"We partnered with Sustainability Index in 2018 to implement a new initiative in energy usage, achieving 12 million gallons of water in verified results.",1
345,Plans are underway to transition to waste management models across key departments by 2019.,2
346,"Through third-party verification by EcoCert, our efforts in supply chain resulted in a savings of 5,000 hectares of deforested land.",1
347,"We are collaborating with Sustainability Index to evaluate opportunities for product design enhancement, with progress reports expected in 2023.",2
348,"We are currently piloting a project to improve product design, targeting a 65% improvement by 2022.",2
349,"Through third-party verification by PlanetWatch, our efforts in manufacturing resulted in a savings of 40,000 kilowatt-hours of electricity.",1
350,"Since 2024, our packaging upgrades have cut resource consumption by 15%, with results verified by PlanetWatch.",1
351,Plans are underway to transition to packaging models across key departments by 2019.,2
352,Plans are underway to transition to product design models across key departments by 2022.,2
353,"In 2022, we reduced our carbon emissions by 20% through verified changes in our packaging, preventing 3,500 cubic meters of landfill space.",1
354,"Through third-party verification by PlanetWatch, our efforts in waste management resulted in a savings of 25,000 tons of CO₂.",1
355,"In 2022, we reduced our carbon emissions by 50% through verified changes in our product design, preventing 40,000 kilowatt-hours of electricity.",1
356,Plans are underway to transition to packaging models across key departments by 2020.,2
357,"We partnered with PlanetWatch in 2022 to implement a new initiative in waste management, achieving 40,000 kilowatt-hours of electricity in verified results.",1
358,"We are currently piloting a project to improve transportation, targeting a 55% improvement by 2021.",2
359,"Our verified sustainability audit confirmed a 20% improvement in transportation, saving 40,000 kilowatt-hours of electricity in 2024.",1
360,"Our verified sustainability audit confirmed a 40% improvement in waste management, saving 12 million gallons of water in 2021.",1
361,"Since 2023, our product design upgrades have cut resource consumption by 75%, with results verified by EcoCert.",1
362,"Through third-party verification by GreenFuture Alliance, our efforts in energy usage resulted in a savings of 25,000 tons of CO₂.",1
363,"Since 2024, our manufacturing upgrades have cut resource consumption by 65%, with results verified by GreenFuture Alliance.",1
364,"In 2023, we reduced our carbon emissions by 80% through verified changes in our supply chain, preventing 40,000 kilowatt-hours of electricity.",1
365,"Our verified sustainability audit confirmed a 55% improvement in energy usage, saving 5,000 hectares of deforested land in 2023.",1
366,"We partnered with EcoCert in 2021 to implement a new initiative in packaging, achieving 3,500 cubic meters of landfill space in verified results.",1
367,We always strive to be a force for good and protect the planet through our values.,3
368,"Through third-party verification by Global Green Council, our efforts in waste management resulted in a savings of 40,000 kilowatt-hours of electricity.",1
369,"Since 2022, our transportation upgrades have cut resource consumption by 50%, with results verified by PlanetWatch.",1
370,"In 2019, we reduced our carbon emissions by 20% through verified changes in our transportation, preventing 3,500 cubic meters of landfill space.",1
371,"Since 2019, our energy usage upgrades have cut resource consumption by 35%, with results verified by EcoCert.",1
372,"We are currently piloting a project to improve manufacturing, targeting a 30% improvement by 2022.",2
373,"In 2019, we reduced our carbon emissions by 25% through verified changes in our product design, preventing 12 million gallons of water.",1
374,"In 2023, we reduced our carbon emissions by 25% through verified changes in our packaging, preventing 5,000 hectares of deforested land.",1
375,"We partnered with Global Green Council in 2020 to implement a new initiative in supply chain, achieving 25,000 tons of CO₂ in verified results.",1
376,"Through third-party verification by EcoCert, our efforts in waste management resulted in a savings of 12 million gallons of water.",1
377,"We are collaborating with Global Green Council to evaluate opportunities for manufacturing enhancement, with progress reports expected in 2019.",2
378,Plans are underway to transition to supply chain models across key departments by 2022.,2
379,"Our verified sustainability audit confirmed a 70% improvement in transportation, saving 12 million gallons of water in 2021.",1
380,"Since 2020, our waste management upgrades have cut resource consumption by 25%, with results verified by GreenFuture Alliance.",1
381,"We are currently piloting a project to improve waste management, targeting a 80% improvement by 2023.",2
382,"Our team is in the early phases of implementing sustainable packaging practices, with initial feedback being collected.",2
383,"Our verified sustainability audit confirmed a 35% improvement in waste management, saving 40,000 kilowatt-hours of electricity in 2020.",1
384,"We are currently piloting a project to improve manufacturing, targeting a 40% improvement by 2024.",2
385,"We partnered with Sustainability Index in 2019 to implement a new initiative in transportation, achieving 10,000 plastic containers in verified results.",1
386,Plans are underway to transition to energy usage models across key departments by 2018.,2
387,"We partnered with GreenFuture Alliance in 2023 to implement a new initiative in supply chain, achieving 12 million gallons of water in verified results.",1
388,"We partnered with Global Green Council in 2020 to implement a new initiative in manufacturing, achieving 12 million gallons of water in verified results.",1
389,"In 2022, we reduced our carbon emissions by 50% through verified changes in our transportation, preventing 10,000 plastic containers.",1
390,"In 2021, we began an initiative focused on supply chain with measurable goals expected to be achieved over the next 3 years.",2
391,"We partnered with EcoCert in 2019 to implement a new initiative in packaging, achieving 5,000 hectares of deforested land in verified results.",1
392,"We are currently piloting a project to improve manufacturing, targeting a 10% improvement by 2019.",2
393,"We partnered with EcoCert in 2023 to implement a new initiative in transportation, achieving 25,000 tons of CO₂ in verified results.",1
394,"In 2024, we reduced our carbon emissions by 70% through verified changes in our product design, preventing 3,500 cubic meters of landfill space.",1
395,"We partnered with Global Green Council in 2023 to implement a new initiative in supply chain, achieving 25,000 tons of CO₂ in verified results.",1
396,"Since 2019, our packaging upgrades have cut resource consumption by 60%, with results verified by GreenFuture Alliance.",1
397,Plans are underway to transition to product design models across key departments by 2023.,2
398,"In 2022, we reduced our carbon emissions by 65% through verified changes in our supply chain, preventing 40,000 kilowatt-hours of electricity.",1
399,"We are collaborating with Sustainability Index to evaluate opportunities for waste management enhancement, with progress reports expected in 2024.",2
400,"We are currently piloting a project to improve packaging, targeting a 30% improvement by 2019.",2
401,"We are currently piloting a project to improve energy usage, targeting a 50% improvement by 2024.",2
402,"In 2022, we reduced our carbon emissions by 55% through verified changes in our energy usage, preventing 5,000 hectares of deforested land.",1
403,"In 2021, we reduced our carbon emissions by 80% through verified changes in our packaging, preventing 10,000 plastic containers.",1
404,"We are currently piloting a project to improve waste management, targeting a 35% improvement by 2018.",2
405,"Through third-party verification by EcoCert, our efforts in transportation resulted in a savings of 3,500 cubic meters of landfill space.",1
406,"We are collaborating with Global Green Council to evaluate opportunities for product design enhancement, with progress reports expected in 2022.",2
407,"Since 2024, our manufacturing upgrades have cut resource consumption by 50%, with results verified by EcoCert.",1
408,"In 2023, we began an initiative focused on product design with measurable goals expected to be achieved over the next 3 years.",2
409,"Our verified sustainability audit confirmed a 10% improvement in manufacturing, saving 25,000 tons of CO₂ in 2021.",1
410,"We partnered with EcoCert in 2020 to implement a new initiative in supply chain, achieving 25,000 tons of CO₂ in verified results.",1
411,"In 2022, we reduced our carbon emissions by 60% through verified changes in our supply chain, preventing 12 million gallons of water.",1
412,"Through third-party verification by Sustainability Index, our efforts in packaging resulted in a savings of 40,000 kilowatt-hours of electricity.",1
413,"Since 2022, our supply chain upgrades have cut resource consumption by 80%, with results verified by Global Green Council.",1
414,"Our team is in the early phases of implementing sustainable manufacturing practices, with initial feedback being collected.",2
415,"Through third-party verification by EcoCert, our efforts in packaging resulted in a savings of 40,000 kilowatt-hours of electricity.",1
416,"In 2021, we reduced our carbon emissions by 60% through verified changes in our product design, preventing 10,000 plastic containers.",1
417,"We partnered with PlanetWatch in 2020 to implement a new initiative in energy usage, achieving 3,500 cubic meters of landfill space in verified results.",1
418,Plans are underway to transition to product design models across key departments by 2024.,2
419,"Since 2022, our transportation upgrades have cut resource consumption by 65%, with results verified by GreenFuture Alliance.",1
420,"In 2022, we reduced our carbon emissions by 75% through verified changes in our supply chain, preventing 3,500 cubic meters of landfill space.",1
421,"Since 2022, our packaging upgrades have cut resource consumption by 65%, with results verified by GreenFuture Alliance.",1
422,"Our verified sustainability audit confirmed a 60% improvement in product design, saving 5,000 hectares of deforested land in 2023.",1
423,"Our verified sustainability audit confirmed a 45% improvement in product design, saving 10,000 plastic containers in 2022.",1
424,"We partnered with Sustainability Index in 2018 to implement a new initiative in product design, achieving 40,000 kilowatt-hours of electricity in verified results.",1
425,"Our team is in the early phases of implementing sustainable waste management practices, with initial feedback being collected.",2
426,"We partnered with Global Green Council in 2024 to implement a new initiative in supply chain, achieving 10,000 plastic containers in verified results.",1
427,"Our verified sustainability audit confirmed a 15% improvement in transportation, saving 40,000 kilowatt-hours of electricity in 2023.",1
428,"Our verified sustainability audit confirmed a 10% improvement in waste management, saving 3,500 cubic meters of landfill space in 2019.",1
429,"Our verified sustainability audit confirmed a 25% improvement in manufacturing, saving 10,000 plastic containers in 2024.",1
430,"In 2018, we began an initiative focused on energy usage with measurable goals expected to be achieved over the next 3 years.",2
431,"We partnered with Sustainability Index in 2018 to implement a new initiative in energy usage, achieving 25,000 tons of CO₂ in verified results.",1
432,"In 2023, we began an initiative focused on waste management with measurable goals expected to be achieved over the next 3 years.",2
433,"In 2019, we reduced our carbon emissions by 75% through verified changes in our manufacturing, preventing 5,000 hectares of deforested land.",1
434,"We partnered with Global Green Council in 2018 to implement a new initiative in packaging, achieving 10,000 plastic containers in verified results.",1
435,"Our verified sustainability audit confirmed a 55% improvement in supply chain, saving 25,000 tons of CO₂ in 2020.",1
436,"We are currently piloting a project to improve manufacturing, targeting a 15% improvement by 2023.",2
437,"We partnered with EcoCert in 2024 to implement a new initiative in manufacturing, achieving 40,000 kilowatt-hours of electricity in verified results.",1
438,"Since 2021, our packaging upgrades have cut resource consumption by 10%, with results verified by EcoCert.",1
439,"In 2022, we began an initiative focused on manufacturing with measurable goals expected to be achieved over the next 3 years.",2
440,"In 2022, we reduced our carbon emissions by 20% through verified changes in our manufacturing, preventing 40,000 kilowatt-hours of electricity.",1
441,"In 2020, we reduced our carbon emissions by 40% through verified changes in our product design, preventing 5,000 hectares of deforested land.",1
442,"We are collaborating with Sustainability Index to evaluate opportunities for product design enhancement, with progress reports expected in 2019.",2
443,"In 2019, we reduced our carbon emissions by 40% through verified changes in our waste management, preventing 5,000 hectares of deforested land.",1
444,"We partnered with GreenFuture Alliance in 2024 to implement a new initiative in product design, achieving 12 million gallons of water in verified results.",1
445,Plans are underway to transition to waste management models across key departments by 2023.,2
446,"In 2020, we reduced our carbon emissions by 80% through verified changes in our packaging, preventing 3,500 cubic meters of landfill space.",1
447,"Our verified sustainability audit confirmed a 60% improvement in packaging, saving 3,500 cubic meters of landfill space in 2019.",1
448,"Our verified sustainability audit confirmed a 75% improvement in transportation, saving 3,500 cubic meters of landfill space in 2024.",1
449,"In 2018, we began an initiative focused on supply chain with measurable goals expected to be achieved over the next 3 years.",2
450,"In 2023, we reduced our carbon emissions by 80% through verified changes in our supply chain, preventing 12 million gallons of water.",1
451,"Our verified sustainability audit confirmed a 55% improvement in energy usage, saving 40,000 kilowatt-hours of electricity in 2021.",1
452,"Our verified sustainability audit confirmed a 40% improvement in packaging, saving 25,000 tons of CO₂ in 2018.",1
453,"In 2018, we began an initiative focused on packaging with measurable goals expected to be achieved over the next 3 years.",2
454,"We are collaborating with Global Green Council to evaluate opportunities for waste management enhancement, with progress reports expected in 2018.",2
455,"Since 2018, our product design upgrades have cut resource consumption by 40%, with results verified by Global Green Council.",1
456,"In 2024, we reduced our carbon emissions by 20% through verified changes in our energy usage, preventing 12 million gallons of water.",1
457,"We partnered with Sustainability Index in 2023 to implement a new initiative in manufacturing, achieving 40,000 kilowatt-hours of electricity in verified results.",1
458,"We are collaborating with Global Green Council to evaluate opportunities for transportation enhancement, with progress reports expected in 2021.",2
459,"We partnered with PlanetWatch in 2022 to implement a new initiative in transportation, achieving 12 million gallons of water in verified results.",1
460,"Since 2020, our manufacturing upgrades have cut resource consumption by 30%, with results verified by GreenFuture Alliance.",1
461,"We partnered with Global Green Council in 2019 to implement a new initiative in product design, achieving 25,000 tons of CO₂ in verified results.",1
462,"In 2022, we reduced our carbon emissions by 10% through verified changes in our supply chain, preventing 10,000 plastic containers.",1
463,"Through third-party verification by EcoCert, our efforts in supply chain resulted in a savings of 40,000 kilowatt-hours of electricity.",1
464,"In 2023, we reduced our carbon emissions by 30% through verified changes in our product design, preventing 40,000 kilowatt-hours of electricity.",1
465,"In 2022, we reduced our carbon emissions by 55% through verified changes in our product design, preventing 25,000 tons of CO₂.",1
466,"We partnered with Global Green Council in 2019 to implement a new initiative in product design, achieving 10,000 plastic containers in verified results.",1
467,"We are collaborating with GreenFuture Alliance to evaluate opportunities for waste management enhancement, with progress reports expected in 2022.",2
468,"In 2020, we reduced our carbon emissions by 75% through verified changes in our packaging, preventing 12 million gallons of water.",1
469,Plans are underway to transition to transportation models across key departments by 2024.,2
470,"In 2024, we began an initiative focused on waste management with measurable goals expected to be achieved over the next 3 years.",2
471,"We are collaborating with Global Green Council to evaluate opportunities for energy usage enhancement, with progress reports expected in 2019.",2
472,"Through third-party verification by Global Green Council, our efforts in transportation resulted in a savings of 25,000 tons of CO₂.",1
473,"In 2021, we reduced our carbon emissions by 60% through verified changes in our product design, preventing 40,000 kilowatt-hours of electricity.",1
474,"We are collaborating with EcoCert to evaluate opportunities for energy usage enhancement, with progress reports expected in 2020.",2
475,"We are collaborating with GreenFuture Alliance to evaluate opportunities for energy usage enhancement, with progress reports expected in 2018.",2
476,"We are collaborating with EcoCert to evaluate opportunities for energy usage enhancement, with progress reports expected in 2018.",2
477,"We are collaborating with Global Green Council to evaluate opportunities for packaging enhancement, with progress reports expected in 2021.",2
478,Plans are underway to transition to manufacturing models across key departments by 2020.,2
479,"Since 2024, our energy usage upgrades have cut resource consumption by 55%, with results verified by Sustainability Index.",1
480,"We are collaborating with Sustainability Index to evaluate opportunities for energy usage enhancement, with progress reports expected in 2019.",2
481,"Through third-party verification by PlanetWatch, our efforts in supply chain resulted in a savings of 3,500 cubic meters of landfill space.",1
482,"Since 2024, our energy usage upgrades have cut resource consumption by 50%, with results verified by EcoCert.",1
483,"Through third-party verification by PlanetWatch, our efforts in product design resulted in a savings of 12 million gallons of water.",1
484,"Since 2020, our packaging upgrades have cut resource consumption by 70%, with results verified by GreenFuture Alliance.",1
485,"Our verified sustainability audit confirmed a 25% improvement in packaging, saving 12 million gallons of water in 2024.",1
486,"In 2024, we began an initiative focused on packaging with measurable goals expected to be achieved over the next 3 years.",2
487,"We are collaborating with Sustainability Index to evaluate opportunities for energy usage enhancement, with progress reports expected in 2018.",2
488,"In 2021, we reduced our carbon emissions by 65% through verified changes in our waste management, preventing 25,000 tons of CO₂.",1
489,Plans are underway to transition to manufacturing models across key departments by 2019.,2
490,"We are currently piloting a project to improve supply chain, targeting a 40% improvement by 2020.",2
491,"Since 2019, our packaging upgrades have cut resource consumption by 45%, with results verified by PlanetWatch.",1
492,"We are collaborating with Sustainability Index to evaluate opportunities for packaging enhancement, with progress reports expected in 2023.",2
493,"In 2024, we began an initiative focused on transportation with measurable goals expected to be achieved over the next 3 years.",2
494,"We are collaborating with Sustainability Index to evaluate opportunities for manufacturing enhancement, with progress reports expected in 2020.",2
495,"In 2020, we began an initiative focused on supply chain with measurable goals expected to be achieved over the next 3 years.",2
496,"Through third-party verification by GreenFuture Alliance, our efforts in energy usage resulted in a savings of 10,000 plastic containers.",1
497,Plans are underway to transition to product design models across key departments by 2021.,2
498,"Since 2018, our manufacturing upgrades have cut resource consumption by 65%, with results verified by Global Green Council.",1
499,"We believe that sustainability is a journey, and we are committed to making positive changes.",3
500,"In 2023, we reduced our carbon emissions by 40% through verified changes in our packaging, preventing 25,000 tons of CO₂.",1
